column_name,category_en,category_cn,frequency_band,brain_region,description_en,description_cn,physiological_meaning_en,physiological_meaning_cn,computation_en,computation_cn,unit_notes_en,unit_notes_cn
psd_beta_frontal,Power Spectral Density,功率谱密度,Beta (13-30 Hz),frontal,"Absolute Beta power (13–30 Hz) at frontal electrodes.","额叶电极 Beta 频段（13-30 Hz）的绝对功率谱密度。","Frontal Beta is associated with active thinking, decision-making, alertness and, at high levels, anxiety or stress. In RL-guided driving tasks, moderate increases typically accompany focused strategy selection.","额叶 Beta 与主动思考、决策、警觉水平相关，过高时与焦虑或应激有关。在强化学习引导的驾驶任务中，适度升高通常伴随集中的策略选择过程。","Welch's method on 13–30 Hz filtered signal averaged over frontal electrodes; z-scored across subjects.","对 13-30 Hz 滤波信号使用 Welch 方法估计功率谱密度，并在额叶电极间求平均；受试者间做 z-score 标准化。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_beta_frontal,Relative Power,相对功率,Beta (13-30 Hz),frontal,"Relative Beta power at frontal electrodes.","额叶 Beta 相对功率。","Amplitude-normalized marker of frontal engagement; used in driver vigilance indices such as (α+θ)/β.","幅值归一化后的额叶参与度指标；用于构建如 (α+θ)/β 之类的驾驶员警觉指数。","Band power divided by total power at frontal electrodes.","额叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_beta_central,Power Spectral Density,功率谱密度,Beta (13-30 Hz),central,"Absolute Beta power at central electrodes.","中央区电极 Beta 频段的绝对功率谱密度。","Central Beta is strongly tied to motor execution and maintenance of motor state (tonic contractions, steady steering); beta desynchronization precedes voluntary movement.","中央 Beta 与运动执行以及运动状态维持（紧张收缩、稳定转向）密切相关；自主运动前常出现 Beta 去同步。","Same methodology, central electrodes.","方法相同，区域为中央区电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_beta_central,Relative Power,相对功率,Beta (13-30 Hz),central,"Relative Beta power at central electrodes.","中央区 Beta 相对功率。","Reflects the share of motor-cortex activity in the Beta band — a proxy for sustained motor control engagement.","反映运动皮层活动中 Beta 成分所占比例——可作为持续运动控制参与度的代理指标。","Band power divided by total power at central electrodes.","中央区电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_beta_parietal,Power Spectral Density,功率谱密度,Beta (13-30 Hz),parietal,"Absolute Beta power at parietal electrodes.","顶叶电极 Beta 频段的绝对功率谱密度。","Parietal Beta is linked to sustained attention, spatial working memory, and somatosensory integration relevant to vehicle handling.","顶叶 Beta 与持续注意、空间工作记忆以及对车辆操控至关重要的体感整合有关。","Same methodology, parietal electrodes.","方法相同，区域为顶叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_beta_parietal,Relative Power,相对功率,Beta (13-30 Hz),parietal,"Relative Beta power at parietal electrodes.","顶叶 Beta 相对功率。","Amplitude-normalized marker of parietal attentional / somatosensory engagement.","幅值归一化后的顶叶注意/体感参与度指标。","Band power divided by total power at parietal electrodes.","顶叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_beta_occipital,Power Spectral Density,功率谱密度,Beta (13-30 Hz),occipital,"Absolute Beta power at occipital electrodes.","枕叶电极 Beta 频段的绝对功率谱密度。","Occipital Beta is associated with active visual processing, visual decision-making, and maintenance of a visual representation of the scene.","枕叶 Beta 与主动视觉加工、视觉决策以及对场景视觉表征的维持有关。","Same methodology, occipital electrodes.","方法相同，区域为枕叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_beta_occipital,Relative Power,相对功率,Beta (13-30 Hz),occipital,"Relative Beta power at occipital electrodes.","枕叶 Beta 相对功率。","Reflects amplitude-normalized visual cortex engagement; falls in drowsy states.","反映幅值归一化后的视觉皮层参与度；在困倦状态下降。","Band power divided by total power at occipital electrodes.","枕叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_beta_temporal,Power Spectral Density,功率谱密度,Beta (13-30 Hz),temporal,"Absolute Beta power at temporal electrodes.","颞叶电极 Beta 频段的绝对功率谱密度。","Temporal Beta is related to auditory–language processing, top-down auditory prediction, and alertness of temporal-cortex networks.","颞叶 Beta 与听觉—语言处理、自上而下的听觉预测以及颞叶皮层网络的警觉状态有关。","Same methodology, temporal electrodes.","方法相同，区域为颞叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_beta_temporal,Relative Power,相对功率,Beta (13-30 Hz),temporal,"Relative Beta power at temporal electrodes.","颞叶 Beta 相对功率。","Amplitude-normalized index of temporal-cortex engagement.","幅值归一化后的颞叶皮层参与度指标。","Band power divided by total power at temporal electrodes.","颞叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_gamma_frontal,Power Spectral Density,功率谱密度,Gamma (>30 Hz),frontal,"Absolute Gamma power (>30 Hz, typically 30–45 Hz in scalp EEG) at frontal electrodes.","额叶电极 Gamma 频段（>30 Hz，在头皮 EEG 中常取 30-45 Hz）的绝对功率谱密度。","Frontal Gamma is associated with high-level cognition, top-down control, feature binding, and conscious perception. Scalp gamma must be interpreted carefully because it can be contaminated by muscle (EMG) activity.","额叶 Gamma 与高级认知、自上而下的控制、特征绑定以及意识知觉有关。需要注意的是，头皮 Gamma 可能被肌电（EMG）活动污染，须谨慎解读。","Welch's method on >30 Hz filtered signal averaged over frontal electrodes; z-scored across subjects.","对 >30 Hz 滤波信号使用 Welch 方法估计功率谱密度，并在额叶电极间求平均；受试者间做 z-score 标准化。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_gamma_frontal,Relative Power,相对功率,Gamma (>30 Hz),frontal,"Relative Gamma power at frontal electrodes.","额叶 Gamma 相对功率。","Amplitude-normalized marker of frontal high-frequency engagement, less sensitive to overall EEG amplitude but still susceptible to muscle artifacts.","幅值归一化后的额叶高频参与度指标，对整体 EEG 幅值变化不敏感，但仍可能受到肌电伪影的影响。","Band power divided by total power at frontal electrodes.","额叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_gamma_central,Power Spectral Density,功率谱密度,Gamma (>30 Hz),central,"Absolute Gamma power at central electrodes.","中央区电极 Gamma 频段的绝对功率谱密度。","Central Gamma reflects fine-grained motor control, force modulation, and active sensorimotor binding during precise steering or pedal operation.","中央 Gamma 反映精细运动控制、力量调节，以及在精细转向或踏板操作时的主动感觉运动绑定。","Same methodology, central electrodes.","方法相同，区域为中央区电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_gamma_central,Relative Power,相对功率,Gamma (>30 Hz),central,"Relative Gamma power at central electrodes.","中央区 Gamma 相对功率。","Amplitude-normalized marker of sensorimotor gamma engagement.","幅值归一化后的感觉运动 Gamma 参与度指标。","Band power divided by total power at central electrodes.","中央区电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_gamma_parietal,Power Spectral Density,功率谱密度,Gamma (>30 Hz),parietal,"Absolute Gamma power at parietal electrodes.","顶叶电极 Gamma 频段的绝对功率谱密度。","Parietal Gamma is implicated in attention binding, integration of multisensory information, and formation of a unified perceptual scene.","顶叶 Gamma 与注意绑定、多感觉信息整合以及统一知觉场景的形成有关。","Same methodology, parietal electrodes.","方法相同，区域为顶叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_gamma_parietal,Relative Power,相对功率,Gamma (>30 Hz),parietal,"Relative Gamma power at parietal electrodes.","顶叶 Gamma 相对功率。","Amplitude-normalized marker of parietal high-frequency integration.","幅值归一化后的顶叶高频整合指标。","Band power divided by total power at parietal electrodes.","顶叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_gamma_occipital,Power Spectral Density,功率谱密度,Gamma (>30 Hz),occipital,"Absolute Gamma power at occipital electrodes.","枕叶电极 Gamma 频段的绝对功率谱密度。","Occipital Gamma is a hallmark of active visual feature processing (orientation, motion, texture) and is enhanced with increased visual attention to the driving scene.","枕叶 Gamma 是主动视觉特征加工（朝向、运动、纹理等）的标志，随着对驾驶场景视觉注意的加强而增强。","Same methodology, occipital electrodes.","方法相同，区域为枕叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_gamma_occipital,Relative Power,相对功率,Gamma (>30 Hz),occipital,"Relative Gamma power at occipital electrodes.","枕叶 Gamma 相对功率。","Amplitude-normalized marker of active visual processing.","幅值归一化后的主动视觉加工指标。","Band power divided by total power at occipital electrodes.","枕叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
psd_gamma_temporal,Power Spectral Density,功率谱密度,Gamma (>30 Hz),temporal,"Absolute Gamma power at temporal electrodes.","颞叶电极 Gamma 频段的绝对功率谱密度。","Temporal Gamma is linked to auditory object formation, speech/phoneme processing, and memory-related feature binding in medial-temporal structures.","颞叶 Gamma 与听觉对象形成、言语/音素加工以及内侧颞叶结构的记忆相关特征绑定有关。","Same methodology, temporal electrodes.","方法相同，区域为颞叶电极。","uV^2/Hz, z-scored across subjects.","μV²/Hz，受试者间 z 标准化。"
rel_power_gamma_temporal,Relative Power,相对功率,Gamma (>30 Hz),temporal,"Relative Gamma power at temporal electrodes.","颞叶 Gamma 相对功率。","Amplitude-normalized marker of temporal-cortex high-frequency activity.","幅值归一化后的颞叶皮层高频活动指标。","Band power divided by total power at temporal electrodes.","颞叶电极频段功率除以总功率。","Dimensionless ratio in [0,1].","[0,1] 之间的无量纲比例。"
